maintenance_id,asset_id,component_id,component_type,maintenance_date,operating_hours,maintenance_type,issue_detected,failure_type,component_condition,parts_replaced,maintenance_duration_hours,failure_occurred,next_maintenance_due_hours
M00225,A038,A038-ENG,Engine,2025-02-21,6475,Preventive,Pressure Drop indicators detected,Pressure Drop,Poor,Pump,3.5,1,6692
M00226,A039,A039-PMP,Fuel Pump,2025-03-04,2929,Corrective,Routine inspection,None,Good,None,11.6,0,3360
M00227,A039,A039-PMP,Fuel Pump,2024-10-26,4399,Preventive,Routine inspection,None,Good,None,7.0,0,4619
M00228,A039,A039-BAT,Battery,2024-11-05,1212,Preventive,Routine inspection,None,Fair,None,5.4,0,1822
M00229,A039,A039-HYD,Hydraulic System,2024-09-16,5093,Preventive,Pressure Drop indicators detected,Pressure Drop,Poor,Pump,3.0,1,5868
M00230,A039,A039-BAT,Battery,2024-12-01,5930,Corrective,Routine inspection,None,Good,None,2.9,0,6199
M00231,A039,A039-HYD,Hydraulic System,2025-09-11,4982,Corrective,Routine inspection,None,Fair,None,2.2,0,5265
M00232,A039,A039-HYD,Hydraulic System,2024-07-12,2883,Inspection,Routine inspection,None,Good,None,2.8,0,3221
M00233,A040,A040-PMP,Fuel Pump,2025-03-12,5019,Corrective,Tool Wear indicators detected,Tool Wear,Degraded,Bearing,5.9,1,5578
M00234,A040,A040-PMP,Fuel Pump,2025-10-17,7453,Preventive,Routine inspection,None,Good,None,5.5,0,7708
M00235,A040,A040-HYD,Hydraulic System,2025-09-06,5615,Inspection,Overheating indicators detected,Overheating,Degraded,Seal,8.8,1,6052
M00236,A040,A040-ENG,Engine,2024-12-13,5609,Corrective,Routine inspection,None,Good,None,9.2,0,6012
M00237,A040,A040-ENG,Engine,2024-08-26,2446,Inspection,Routine inspection,None,Fair,None,11.1,0,3223
M00238,A040,A040-HYD,Hydraulic System,2024-05-04,2023,Corrective,Routine inspection,None,Good,None,7.8,0,2693
M00239,A041,A041-ENG,Engine,2025-09-21,7432,Corrective,Routine inspection,None,Good,None,11.5,0,7929
M00240,A041,A041-BAT,Battery,2025-08-06,2741,Preventive,Electrical indicators detected,Electrical,Poor,Seal,1.8,1,3147
M00241,A041,A041-ENG,Engine,2024-04-02,3273,Inspection,Routine inspection,None,Good,None,7.4,0,3832
M00242,A041,A041-ENG,Engine,2025-03-22,414,Preventive,Routine inspection,None,Fair,None,8.5,0,693
M00243,A042,A042-BAT,Battery,2024-05-05,6768,Corrective,Overheating indicators detected,Overheating,Degraded,Battery,7.7,1,7303
M00244,A042,A042-HYD,Hydraulic System,2024-06-20,7134,Preventive,Routine inspection,None,Fair,None,10.9,0,7618
M00245,A042,A042-BAT,Battery,2025-03-22,7978,Preventive,Routine inspection,None,Fair,None,6.0,0,8393
M00246,A042,A042-ENG,Engine,2024-09-22,3485,Corrective,Electrical indicators detected,Electrical,Degraded,Battery,6.1,1,4249
M00247,A042,A042-BAT,Battery,2025-10-31,603,Inspection,Pressure Drop indicators detected,Pressure Drop,Degraded,Seal,4.7,1,1046
M00248,A043,A043-ENG,Engine,2024-08-20,1721,Preventive,Routine inspection,None,Fair,None,1.0,0,2436
M00249,A043,A043-PMP,Fuel Pump,2024-11-13,175,Preventive,Routine inspection,None,Fair,None,1.8,0,475
M00250,A043,A043-HYD,Hydraulic System,2024-01-16,5647,Inspection,Routine inspection,None,Fair,None,9.0,0,5988
M00251,A043,A043-HYD,Hydraulic System,2024-05-09,6913,Corrective,Routine inspection,None,Fair,None,9.9,0,7220
M00252,A043,A043-PMP,Fuel Pump,2024-10-18,2174,Inspection,Overheating indicators detected,Overheating,Poor,Pump,1.4,1,2690
M00253,A043,A043-BAT,Battery,2024-04-03,7074,Inspection,Routine inspection,None,Fair,None,10.5,0,7872
M00254,A043,A043-PMP,Fuel Pump,2025-11-08,3024,Inspection,Routine inspection,None,Good,None,11.4,0,3642
M00255,A044,A044-BAT,Battery,2024-07-12,4845,Inspection,Routine inspection,None,Good,None,3.9,0,5131
M00256,A044,A044-ENG,Engine,2025-10-18,3200,Corrective,Routine inspection,None,Good,None,10.7,0,3862
M00257,A044,A044-HYD,Hydraulic System,2024-05-25,2036,Inspection,Routine inspection,None,Good,None,5.8,0,2601
M00258,A044,A044-ENG,Engine,2025-07-12,372,Preventive,Routine inspection,None,Good,None,4.9,0,899
M00259,A044,A044-BAT,Battery,2025-05-19,449,Inspection,Routine inspection,None,Good,None,2.6,0,1231
M00260,A044,A044-HYD,Hydraulic System,2024-06-22,5679,Corrective,Electrical indicators detected,Electrical,Poor,Battery,8.2,1,6212
M00261,A044,A044-HYD,Hydraulic System,2024-12-10,2224,Inspection,Routine inspection,None,Fair,None,1.1,0,2927
M00262,A044,A044-ENG,Engine,2024-03-06,1994,Preventive,Overstrain indicators detected,Overstrain,Poor,Seal,3.4,1,2350
M00263,A045,A045-BAT,Battery,2024-12-28,7663,Inspection,Electrical indicators detected,Electrical,Poor,Battery,1.6,1,8314
M00264,A045,A045-BAT,Battery,2025-04-18,900,Corrective,Overheating indicators detected,Overheating,Poor,Battery,1.9,1,1175
M00265,A045,A045-PMP,Fuel Pump,2024-11-06,6308,Inspection,Routine inspection,None,Fair,None,1.8,0,6895
M00266,A045,A045-ENG,Engine,2025-05-25,1367,Corrective,Routine inspection,None,Fair,None,7.1,0,2161
M00267,A045,A045-BAT,Battery,2025-02-24,1364,Corrective,Routine inspection,None,Fair,None,1.5,0,1878
M00268,A045,A045-ENG,Engine,2025-10-02,2469,Corrective,Routine inspection,None,Fair,None,7.9,0,2909
M00269,A046,A046-ENG,Engine,2025-07-12,1450,Corrective,Routine inspection,None,Fair,None,10.9,0,2112
M00270,A046,A046-ENG,Engine,2024-03-29,3881,Preventive,Routine inspection,None,Fair,None,5.5,0,4507
M00271,A046,A046-PMP,Fuel Pump,2024-07-28,1578,Inspection,Routine inspection,None,Good,None,11.9,0,2366
M00272,A046,A046-HYD,Hydraulic System,2024-05-08,1552,Preventive,Routine inspection,None,Fair,None,5.1,0,2020
M00273,A046,A046-HYD,Hydraulic System,2024-01-17,6658,Inspection,Routine inspection,None,Good,None,8.2,0,7226
M00274,A046,A046-ENG,Engine,2024-04-09,6585,Preventive,Routine inspection,None,Fair,None,7.3,0,7089
M00275,A046,A046-ENG,Engine,2025-10-26,3038,Preventive,Pressure Drop indicators detected,Pressure Drop,Degraded,Filter,3.2,1,3425
M00276,A047,A047-PMP,Fuel Pump,2024-05-20,525,Inspection,Routine inspection,None,Fair,None,6.2,0,1102
M00277,A047,A047-BAT,Battery,2024-04-11,1655,Corrective,Routine inspection,None,Fair,None,7.5,0,2350
M00278,A047,A047-ENG,Engine,2025-06-10,1160,Preventive,Routine inspection,None,Good,None,11.8,0,1681
M00279,A047,A047-BAT,Battery,2024-06-24,5116,Corrective,Routine inspection,None,Good,None,2.7,0,5371
M00280,A047,A047-PMP,Fuel Pump,2024-08-20,5167,Corrective,Routine inspection,None,Good,None,7.9,0,5762
M00281,A048,A048-BAT,Battery,2024-01-31,6408,Corrective,Routine inspection,None,Fair,None,1.5,0,7056
M00282,A048,A048-HYD,Hydraulic System,2024-05-02,2762,Inspection,Pressure Drop indicators detected,Pressure Drop,Degraded,Pump,5.6,1,3202
M00283,A048,A048-HYD,Hydraulic System,2024-06-22,7000,Inspection,Routine inspection,None,Good,None,7.4,0,7488
M00284,A048,A048-HYD,Hydraulic System,2025-05-30,4223,Preventive,Routine inspection,None,Fair,None,5.0,0,4431
M00285,A048,A048-BAT,Battery,2025-09-13,7343,Inspection,Routine inspection,None,Good,None,7.3,0,7658
M00286,A048,A048-BAT,Battery,2025-10-11,7438,Corrective,Routine inspection,None,Fair,None,10.7,0,7785
M00287,A048,A048-ENG,Engine,2024-01-30,5171,Corrective,Routine inspection,None,Good,None,8.2,0,5435
M00288,A049,A049-BAT,Battery,2024-05-11,5367,Corrective,Routine inspection,None,Fair,None,10.3,0,6108
M00289,A049,A049-PMP,Fuel Pump,2025-08-11,2700,Inspection,Routine inspection,None,Fair,None,1.7,0,3159
M00290,A049,A049-PMP,Fuel Pump,2024-05-02,7958,Inspection,Electrical indicators detected,Electrical,Degraded,Battery,9.2,1,8584
M00291,A049,A049-PMP,Fuel Pump,2025-08-26,5915,Inspection,Pressure Drop indicators detected,Pressure Drop,Poor,Pump,3.1,1,6694
M00292,A049,A049-BAT,Battery,2024-06-18,2409,Corrective,Routine inspection,None,Good,None,8.1,0,2635
M00293,A049,A049-BAT,Battery,2024-10-15,5466,Preventive,Routine inspection,None,Good,None,8.8,0,5962
M00294,A050,A050-ENG,Engine,2024-06-28,3015,Inspection,Routine inspection,None,Good,None,2.8,0,3797
M00295,A050,A050-ENG,Engine,2024-05-09,485,Preventive,Tool Wear indicators detected,Tool Wear,Degraded,Bearing,2.2,1,1003
M00296,A050,A050-PMP,Fuel Pump,2025-03-17,1762,Inspection,Routine inspection,None,Good,None,3.5,0,2360
M00297,A050,A050-HYD,Hydraulic System,2025-11-06,4839,Corrective,Routine inspection,None,Good,None,6.2,0,5104
M00298,A050,A050-ENG,Engine,2024-08-31,7757,Preventive,Routine inspection,None,Fair,None,4.3,0,8386
M00299,A050,A050-PMP,Fuel Pump,2024-05-01,5107,Inspection,Overheating indicators detected,Overheating,Poor,Pump,5.2,1,5498
M00300,A050,A050-HYD,Hydraulic System,2024-04-11,1105,Corrective,Routine inspection,None,Fair,None,11.5,0,1793
